試合ID,ラリー番号,ショット順,打った選手,打点,着地,ショット,結果,レシーバー
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,38.0,吉田陸,CR,LM,スマッシュ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,39.0,吉田陸,LR,RR,ロブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,40.0,吉田陸,RF,LM,ショートリターン,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,41.0,吉田陸,RR,LM,スマッシュ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,42.0,吉田陸,CF,RR,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,43.0,吉田陸,LF,CR,ドライブ,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,44.0,吉田陸,RF,LF,ヘアピン,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,43.0,久永亜美,RR,RR,クリア,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,44.0,もりようすけ,RR,RR,クリア,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,45.0,高橋ふみや,RR,RR,クリア,続行,
2025-03-27_①_吉田陸_もりようすけ_久永亜美_大内陽気,1.0,1.0,大内陽気,RR,RR,クリア,続行,
2025-03-28_②_吉田陸_平直樹_高橋ふみや_もりようすけ,1.0,45.0,平直樹,RR,RR,クリア,続行,
2025-03-27_①_吉田陸_久永亜美_もりようすけ_高橋ふみや,1.0,46.0,もりようすけ,RR,RR,クリア,続行,
